log ID,log date,log title,field name,experiment ID,owner,category,revision date,equipment,seed,seeds/m2,kg/ha,rate,volume,area,time,length,count,weight,None type,material
c58e65ae-4981-45fe-a203-4ab9f338f061,2020-01-30T00:00:00+00:00,Seeding: winter wheat Siskin in Stackyard Woburn Commercial,Stackyard Classical and Section A,,Rob Copley,"Planting, Commercial, Excel upload",2022-06-07T16:21:50+00:00,"JD6620, WES Accord 4m Tyne Drill",Planting: Siskin  Stackyard Woburn Commercial (Siskin),425,,,,,,,,,,
c6f7a49d-5232-4074-9028-54450f807a05,2020-01-31T00:00:00+00:00,Seeding: winter wheat Graham in OSIER Commercial,OSIER,,Tim Hall,"Commercial, Planting, Excel upload",2022-06-07T16:21:50+00:00,"JD6830, Accord Combination Drill No. 4",Planting: Graham  OSIER Commercial (Graham),450,,,,,,,,,,
900319b4-51fb-4f2e-9626-97234385965b,2020-02-05T00:00:00+00:00,Seeding: winter wheat Graham in OSIER Commercial,OSIER,,Tim Hall,"Commercial, Planting, Excel upload",2022-06-07T16:21:50+00:00,"JD6830, Accord Combination Drill No. 4",Planting: Graham  OSIER Commercial (Graham),450,,,,,,,,,,
0b3ad464-6f8f-431e-8a81-4f4feb7fdf9c,2020-02-06T00:00:00+00:00,Seeding: winter beans Tundra in STACKYARD Commercial,STACKYARD,,Fred Ledbury,"Commercial, Planting, Excel upload",2022-06-07T16:21:50+00:00,"JD6930, Amzone Disc Spreader ",Planting: Tundra  STACKYARD Commercial (Tundra),,,,,,,,,,,
f3da9f9c-1cb0-468b-bb9b-abecd2af6afd,2020-02-07T00:00:00+00:00,Seeding: winter wheat Graham in BYLANDS Commercial,BYLANDS,,Tim Hall,"Commercial, Planting, Excel upload",2022-06-07T16:21:50+00:00,"JD6830, Accord Combination Drill No. 4",Planting: Graham  BYLANDS Commercial (Graham),450,,,,,,,,,,
4daa4cd0-728f-44ce-b8c3-cecc7ba8db81,2020-02-07T00:00:00+00:00,Seeding: winter wheat Graham in LONG HOOS 1/2 + 3 Commercial,LONG HOOS 1/2 + 3,,Tim Hall,"Commercial, Planting, Excel upload",2022-06-07T16:21:50+00:00,"JD6830, Accord Combination Drill No. 4",Planting: Graham  LONG HOOS 1/2 + 3 Commercial (Graham),450,,,,,,,,,,
4d349d65-d7f6-4ceb-83a6-e98eb0aee7b9,2020-02-07T00:00:00+00:00,Seeding: winter wheat Graham in MEADOW Commercial,MEADOW,,Tim Hall,"Excel upload, Commercial, Planting",2022-06-07T16:21:50+00:00,"JD6830, Accord Combination Drill No. 4",Planting: Graham  MEADOW Commercial (Graham),450,,,,,,,,,,
6e2d1899-c875-4684-ab61-ad9b85a635ad,2020-02-07T00:00:00+00:00,Seeding: winter beans Tundra in STACKYARD Commercial,STACKYARD,,Fred Ledbury,"Commercial, Planting, Excel upload",2022-06-07T16:21:50+00:00,"JD6930, Amzone Disc Spreader ",Planting: Tundra  STACKYARD Commercial (Tundra),,,,,,,,,,,
12dbd82f-7beb-4b52-8d2d-652720f184b9,2020-02-11T00:00:00+00:00,Seeding: winter wheat Graham in LONG HOOS 4 Commercial,LONG HOOS 4,,Tim Hall,"Commercial, Planting, Excel upload",2022-06-07T16:21:50+00:00,"JD6830, Accord Combination Drill No. 4",Planting: Graham  LONG HOOS 4 Commercial (Graham),450,,,,,,,,,,
feef1114-484f-4904-b851-544d5ae71c80,2020-02-12T00:00:00+00:00,Seeding: winter wheat Graham in DELAFIELD Commercial,DELAFIELD,,Tim Hall,"Commercial, Planting, Excel upload",2022-06-07T16:21:50+00:00,"JD6830, Accord Combination Drill No. 4",Planting: Graham  DELAFIELD Commercial (Graham),450,,,,,,,,,,
ca2dd25d-bf7f-4ae7-b890-e2498976f5b1,2020-02-12T00:00:00+00:00,Seeding: winter wheat Graham in SCOUT Commercial,SCOUT,,Tim Hall,"Commercial, Planting, Excel upload",2022-06-07T16:21:50+00:00,"JD6830, Accord Combination Drill No. 4",Planting: Graham  SCOUT Commercial (Graham),450,,,,,,,,,,
eba41851-2a42-4d31-b78e-7a13c5c36a1a,2020-03-23T00:00:00+00:00,Seeding: spring barley Diablo in GREAT HILL Commercial,Great Hill,,Rob Copley,"Commercial, Planting, Excel upload",2022-06-07T16:21:50+00:00,"JD6620, WES Accord 4m Tyne Drill",Planting: Diablo  GREAT HILL Commercial (Diablo),,192.0,,,,,,,,,
9c8dca70-9174-4a4a-bbf7-7acc97422388,2020-03-23T00:00:00+00:00,Seeding: spring barley Diablo in BUTT CLONG Commercial,Butt Clong,,Rob Copley,"Commercial, Planting, Excel upload",2022-06-07T16:21:50+00:00,"JD6620, WES Accord 4m Tyne Drill",Planting: Diablo  BUTT CLONG Commercial (Diablo),,192.0,,,,,,,,,
239f1fe9-0fab-4276-9e19-1276603e509a,2020-03-23T00:00:00+00:00,Seeding: spring barley Diablo in Stackyard Woburn Commercial,Stackyard Woburn,,Rob Copley,"Commercial, Planting, Excel upload",2022-06-07T16:21:50+00:00,"JD6620, WES Accord 4m Tyne Drill",Planting: Diablo  Stackyard Woburn Commercial (Diablo),,192.0,,,,,,,,,
e636dd17-fbcf-478b-ad1e-023ff2b84ccf,2020-03-23T00:00:00+00:00,Seeding: spring wheat Tybalt in PARKLANDS Commercial,PARKLANDS,,Ian Shield,"Commercial, Planting, Excel upload",2022-06-07T16:21:50+00:00,"JD6930, Accord Combination Drill No. 4",Planting: Tybalt  PARKLANDS Commercial (Chilham),350,,,,,,,,,,
7667a402-a982-4a82-92b8-0c3458c51b47,2020-03-25T00:00:00+00:00,Seeding: spring wheat Tybalt in BROADBALK BK/1,BROADBALK - 2020,,Tim Hall,"Planting, Excel upload",2022-06-07T16:21:50+00:00,"JD6830, Accord Combination Drill No. 4",Planting: Tybalt  BROADBALK BK/1 (Chilham),350,,,,,,,,,,
463cf30f-2c43-48e2-8542-29f6db3754e1,2020-03-26T00:00:00+00:00,Seeding: spring oats Elyann in BROADBALK BK/1,BROADBALK - 2020,,Tim Hall,"Planting, Excel upload",2022-06-07T16:21:50+00:00,"JD6830, Accord Combination Drill No. 4",Planting: Elyann  BROADBALK BK/1 (Elyann),350,,,,,,,,,,
bbdbf0c0-e4e1-47f1-b3c1-31381afcf61e,2020-03-26T00:00:00+00:00,Seeding: winter beans Tundra in BROADBALK BK/1,BROADBALK - 2020,,Tim Hall,"Planting, Excel upload",2022-06-07T16:21:50+00:00,"JD6830, Accord Combination Drill No. 4",Planting: Tundra  BROADBALK BK/1 (Tundra),35,,,,,,,,,,
a4100c63-7e82-4878-8ead-eb4016c95a97,2020-03-30T23:00:00+00:00,Seeding: spring oats Elyann in SUMMERDELLS 1 Commercial,SUMMERDELLS 1,,Tim Hall,"Commercial, Planting, Excel upload",2022-06-07T16:21:50+00:00,"JD6830, Horsch CO4",Planting: Elyann  SUMMERDELLS 1 Commercial (Elyann),350,,,,,,,,,,
fb4e7e5d-bc1a-4f0a-a5b5-3226e608e780,2020-03-30T23:00:00+00:00,Seeding: spring oats Elyann in SUMMERDELLS 2 Commercial,SUMMERDELLS 2,,Tim Hall,"Commercial, Planting, Excel upload",2022-06-07T16:21:50+00:00,"JD6830, Horsch CO4",Planting: Elyann  SUMMERDELLS 2 Commercial (Elyann),350,,,,,,,,,,
e986d361-eafd-40c9-8381-c00c9bc746ad,2020-03-30T23:00:00+00:00,Seeding: spring barley Diablo in HIGHFIELD 4 Commercial,HIGHFIELD 4,,Ian Shield,"Commercial, Planting, Excel upload",2022-06-07T16:21:50+00:00,"JD6930, Accord Combination Drill No. 4",Planting: Diablo  HIGHFIELD 4 Commercial (Diablo),350,,,,,,,,,,
df4911a8-8edc-4fe4-aeb5-340f6fe71ed2,2020-03-31T23:00:00+00:00,Seeding: spring barley Diablo in HIGHFIELD 4 Commercial,HIGHFIELD 4,,Ian Shield,"Commercial, Planting, Excel upload",2022-06-07T16:21:50+00:00,"JD6930, Accord Combination Drill No. 4",Planting: Diablo  HIGHFIELD 4 Commercial (Diablo),350,,,,,,,,,,
336a733d-fc33-4be6-a983-87a69a80ea0b,2020-03-31T23:00:00+00:00,Seeding: spring oats Elyann in SUMMERDELLS 1 Commercial,SUMMERDELLS 1,,Tim Hall,"Commercial, Planting, Excel upload",2022-06-07T16:21:50+00:00,"JD6830, Horsch CO4",Planting: Elyann  SUMMERDELLS 1 Commercial (Elyann),350,,,,,,,,,,
d3b5dbe4-a6c1-4d24-8514-dc6335244816,2020-03-31T23:00:00+00:00,Seeding: spring oats Elyann in SUMMERDELLS 2 Commercial,SUMMERDELLS 2,,Tim Hall,"Commercial, Planting, Excel upload",2022-06-07T16:21:50+00:00,"JD6830, Horsch CO4",Planting: Elyann  SUMMERDELLS 2 Commercial (Elyann),350,,,,,,,,,,
